ListingId;Feature
e68f630d-ea08-449c-a631-b4634bf62508;Balkon / Terrasse
e68f630d-ea08-449c-a631-b4634bf62508;Kabel-TV
e68f630d-ea08-449c-a631-b4634bf62508;Parkplatz
e68f630d-ea08-449c-a631-b4634bf62508;Lift
2f422095-c6a8-400b-b5e9-d1382a71c5a7;Haustiere erlaubt
2f422095-c6a8-400b-b5e9-d1382a71c5a7;Balkon / Terrasse
2f422095-c6a8-400b-b5e9-d1382a71c5a7;Rollstuhlgängig
2f422095-c6a8-400b-b5e9-d1382a71c5a7;Parkplatz
2f422095-c6a8-400b-b5e9-d1382a71c5a7;Lift
182c6f93-6a45-46d4-a134-891c726f7203;Haustiere erlaubt
182c6f93-6a45-46d4-a134-891c726f7203;Balkon / Terrasse
182c6f93-6a45-46d4-a134-891c726f7203;Kabel-TV
182c6f93-6a45-46d4-a134-891c726f7203;Kinderfreundlich
182c6f93-6a45-46d4-a134-891c726f7203;Parkplatz
182c6f93-6a45-46d4-a134-891c726f7203;Garage
182c6f93-6a45-46d4-a134-891c726f7203;Lift
182c6f93-6a45-46d4-a134-891c726f7203;Hochparterre
4184f3d6-3770-4ce6-a11f-55d18a6a3412;Haustiere erlaubt
4184f3d6-3770-4ce6-a11f-55d18a6a3412;Balkon / Terrasse
4184f3d6-3770-4ce6-a11f-55d18a6a3412;Waschmaschine
4184f3d6-3770-4ce6-a11f-55d18a6a3412;Aussicht
4184f3d6-3770-4ce6-a11f-55d18a6a3412;Parkplatz
4184f3d6-3770-4ce6-a11f-55d18a6a3412;Garage
4184f3d6-3770-4ce6-a11f-55d18a6a3412;Lift
4184f3d6-3770-4ce6-a11f-55d18a6a3412;Neubau
e8e0098f-ef4f-4609-b075-1aa716ffe61b;Haustiere erlaubt
e8e0098f-ef4f-4609-b075-1aa716ffe61b;Balkon / Terrasse
e8e0098f-ef4f-4609-b075-1aa716ffe61b;Waschmaschine
e8e0098f-ef4f-4609-b075-1aa716ffe61b;Aussicht
e8e0098f-ef4f-4609-b075-1aa716ffe61b;Parkplatz
e8e0098f-ef4f-4609-b075-1aa716ffe61b;Garage
e8e0098f-ef4f-4609-b075-1aa716ffe61b;Lift
e8e0098f-ef4f-4609-b075-1aa716ffe61b;Neubau
