LocationId,Street,ZIP,longitude,latitude,#supermarkets,#foodandbeverage,BFS_NUMMER,NAME,Einkommenssteuer_Kanton,Einkommenssteuer_Gemeinde,Vermögenssteuer_Kanton,Vermögenssteuer_Gemeinde
a89c9e76-3194-493d-b32a-92bc5a65e482,Delfterstr. 25,5004.0,8.0605724,47.3999947,3,2,4001,Aarau,112.0,96.0,112.0,96.0
78af03c0-c11b-4dbd-a5fb-79b8a98313ec,Rathausgasse 13,5000.0,8.0437344,47.39293319999999,5,50,4001,Aarau,112.0,96.0,112.0,96.0
5a2137ea-088d-4187-9d22-778ca3ba131f,Bluemetweg 3,5073.0,7.995916099999999,47.4927414,0,1,4165,Gipf-Oberfrick,112.0,99.0,112.0,99.0
354ae5b7-329c-45b4-abe7-454a4d37b633,Obere Mühlemattstrasse 62,4800.0,7.9426276,47.2775415,0,0,4289,Zofingen,112.0,99.0,112.0,99.0
23d7c8d5-a412-48df-9e98-bef1544316a3,Bläuenstr. 1,5018.0,7.5206478,47.43585650000001,1,0,2793,Zwingen,100.0,59.0,100.0,59.0
d4cbb895-af56-4d08-b2de-2a4a792f4751,Pilatusstrasse 20,5610.0,8.2804522,47.3486625,1,7,4082,Wohlen (AG),112.0,113.0,112.0,113.0
85bb4e5e-7d94-48e1-ab93-67fa4f38d9b5,Kirchweg 26,4325.0,7.966623399999999,47.5132925,0,0,4259,Schupfart,112.0,110.0,112.0,110.0
1b0bc0f1-bd23-498b-b807-f90aa65aad99,Bachstrasse 99,5000.0,8.0542375,47.3882908,1,10,4001,Aarau,112.0,96.0,112.0,96.0
52ddbf2d-0625-4284-97f1-a26140dd04c8,Bachstrasse 7,5734.0,8.1740667,47.2557217,0,2,4141,Reinach (AG),112.0,115.0,112.0,115.0
2c51b4cf-4300-4b7e-8a85-207e65437cd5,Sportplatzweg 19,5070.0,8.0166034,47.5026981,0,3,4163,Frick,112.0,102.0,112.0,102.0
83339075-bf41-4ce4-873f-280d9ebdbd42,Spittelhofring 2,4665.0,7.9351856,47.3038429,0,1,4280,Oftringen,112.0,113.0,112.0,113.0
85372061-f006-465e-bf6a-d95fbc343857,Schulstrasse 1a,5442.0,8.2922348,47.4366488,2,4,4027,Fislisbach,112.0,109.0,112.0,109.0
68fb3f3c-8b62-490d-9a70-b08141d0d56c,Hardackerstr. 33,5301.0,8.2413048,47.5161391,1,1,4044,Untersiggenthal,112.0,105.0,112.0,105.0
044e6b34-52c5-43fa-9447-0cec09fb657d,Föhrenweg 4,5316.0,8.2203359,47.5897166,0,1,4313,Leuggern,112.0,107.0,112.0,107.0
251bb877-dcf2-43ee-8bf7-e9c287fdcdf1,Aarauerstrasse 2,5102.0,8.1287564,47.4051869,0,1,4206,Rupperswil,112.0,97.0,112.0,97.0
d9cf42b6-a401-4d98-b815-22a4888de0ae,Herkulesstrasse 1,5737.0,8.185396299999999,47.2419746,1,1,4139,Menziken,112.0,118.0,112.0,118.0
9c21b7be-9d33-42a1-b4a3-4de2a55e6c88,Fliederweg 19,5035.0,8.046852399999999,47.3694116,0,0,4013,Unterentfelden,112.0,113.0,112.0,113.0
bea6c89f-1176-4eb4-a4fe-5b2d7f41c1bf,Maienzugstrasse 6a-8b,5000.0,8.0554756,47.3979983,2,4,4001,Aarau,112.0,96.0,112.0,96.0
61f0c75b-440e-4a40-9dfb-830f34b18058,Kirchbergstrasse 45,5000.0,8.0463653,47.3997171,1,4,4001,Aarau,112.0,96.0,112.0,96.0
eb95a1f9-5e9c-411d-ae34-ce54f6f0aecf,Dianastr. 20,4310.0,7.802722399999999,47.5521305,0,1,4258,Rheinfelden,112.0,90.0,112.0,90.0
7fb48a43-4529-4474-b62b-f66b079b5483,Schulstrasse 27b,5417.0,8.254788999999999,47.4996354,0,2,4044,Untersiggenthal,112.0,105.0,112.0,105.0
8fd64826-23fb-4a7c-ab02-b7443f6009e0,Zentralstrasse 135,5430.0,8.3287323,47.4622383,4,11,4045,Wettingen,112.0,95.0,112.0,95.0
b20b983a-ae2b-4905-b1bc-7a19758d5f40,Schulstr. 1303,5728.0,8.1441535,47.27931419999999,0,1,4135,Gontenschwil,112.0,112.0,112.0,112.0
5bb52c73-aa3b-42c2-86f3-e73615c681ee,Hardackerstrasse 2,5301.0,8.2410195,47.5172792,1,1,4044,Untersiggenthal,112.0,105.0,112.0,105.0
704abd34-1d70-484e-8d93-a61335aab5bd,Hauptstrasse 627,5324.0,8.207450099999999,47.6157843,0,0,4307,Full-Reuenthal,112.0,125.0,112.0,125.0
24efba48-141a-4896-bc29-f33b6db511d0,Habsburgerstrasse 53,5200.0,8.1967945,47.480018,0,2,4095,Brugg,112.0,97.0,112.0,97.0
c926cfc7-15e1-4372-9f34-9daabf4cf505,Fliederstrasse 17,5430.0,8.321352500000001,47.4661127,5,13,4045,Wettingen,112.0,95.0,112.0,95.0
9a03da42-7f32-47db-8b5d-246cff8fdb91,Schulstrasse 3,5707.0,8.2046229,47.326325,2,5,4208,Seengen,112.0,72.0,112.0,72.0
d6e132b4-23f2-4d3c-8692-1260f5314000,Brummelmattstrasse 7,5033.0,8.0741655,47.3878862,2,4,4003,Buchs (AG),112.0,108.0,112.0,108.0
a5043336-8b5b-4c54-9b2d-41aad0ecf6af,Bahnhofstrasse 28,5000.0,8.0471498,47.3911846,6,56,4001,Aarau,112.0,96.0,112.0,96.0
ccee675e-cbf2-41f4-9a3b-f737d34c00e0,Breitestrasse 56d,5734.0,8.1811817,47.2513714,2,10,4141,Reinach (AG),112.0,115.0,112.0,115.0
ac3efff4-a3f1-4e97-8ca3-cb2727f06ffe,Goldene Wand 2,5708.0,8.1984985,47.2888556,0,2,4132,Birrwil,112.0,95.0,112.0,95.0
a53675b7-4d5b-466d-933a-d4e88f72006b,Ringstrasse Nord 23-27,5600.0,8.1696873,47.394872,0,0,4201,Lenzburg,112.0,105.0,112.0,105.0
03d228fb-cd09-4356-900c-6eed371e844f,Aarauerstr. 22 A+B,5018.0,8.0139546,47.3962515,2,4,4005,Erlinsbach (AG),112.0,89.0,112.0,89.0
a64bcb09-862e-4c6d-bf33-4566fa5cdf9e,Gewerbepark Bata 2,4313.0,7.843250500000001,47.5768564,0,0,4254,MÃ¶hlin,112.0,115.0,112.0,115.0
24672594-b146-4934-92c7-d77e36c40ac5,Frohdörfli 3,5034.0,8.0821541,47.3681452,1,6,4012,Suhr,112.0,112.0,112.0,112.0
be806e79-b38e-4b6e-9459-a35176e15e33,Zileggstrasse 14,5608.0,8.3065306,47.4027634,0,2,4041,Stetten (AG),112.0,99.0,112.0,99.0
9f9f43ee-c793-491b-bf61-9aee7d2eb082,Breitestrasse 56a,5734.0,8.1811817,47.2513714,2,10,4141,Reinach (AG),112.0,115.0,112.0,115.0
fd5e2819-2b9e-43c7-9977-977724c92f91,Weiherweg 4A,5502.0,8.119829400000002,47.3845655,1,0,4200,Hunzenschwil,112.0,99.0,112.0,99.0
c3758be3-728c-4cac-b41a-2ca4b83cbc59,Burghaldenstrasse 14,5400.0,8.301216499999999,47.4719562,2,21,4021,Baden,112.0,92.0,112.0,92.0
4cd1faa0-2c75-4243-8acd-9d8442f744f2,Innere Altachen 3,4800.0,7.9456572,47.279986,0,0,4289,Zofingen,112.0,99.0,112.0,99.0
183058f8-2653-41a9-ba84-59685359fb82,Aarauerstr. 26 A+B,5018.0,8.015001,47.3962463,1,1,4005,Erlinsbach (AG),112.0,89.0,112.0,89.0
074b0dda-cbc5-4eff-88a0-1becd3aaf3bd,Adlerstrasse 8,4312.0,7.8121481,47.5269832,0,1,4253,Magden,112.0,95.0,112.0,95.0
00b4d807-c5c4-441a-b2d9-6878e561699d,Lauterbachstrasse 7,4665.0,7.924030199999999,47.3196067,0,1,4280,Oftringen,112.0,113.0,112.0,113.0
4d1e557c-1c46-407d-b06c-59874244fcb8,Zürcherstrasse 7,5400.0,8.2972173,47.46850509999999,1,2,4021,Baden,112.0,92.0,112.0,92.0
c6461cb2-a1f8-4313-9147-37b0658deccc,Brühlstrasse 2,5745.0,7.9788493,47.3184048,1,2,4283,Safenwil,112.0,115.0,112.0,115.0
113fb782-4cde-4d79-84fe-ac7bbcb5f6bc,Kyburgerstrasse 33,5000.0,8.0501415,47.3822143,0,0,4001,Aarau,112.0,96.0,112.0,96.0
bb0abd55-5568-4102-aa48-6c9bb32834af,Steinackerstrasse 1,5210.0,8.2118825,47.48008429999999,6,12,4123,Windisch,112.0,115.0,112.0,115.0
06293709-463d-441b-bc8b-7d7e69b51265,Henzmannstrasse 11,4800.0,7.9395818,47.2873998,1,23,4289,Zofingen,112.0,99.0,112.0,99.0
1e66e5da-d088-4a0d-acdf-a982ec75cc79,Lierenstrasse 7,5417.0,8.2597814,47.5009666,1,1,4044,Untersiggenthal,112.0,105.0,112.0,105.0
f62d4ed8-e6ad-41e9-867c-768534fd7194,Steingasse 18,5610.0,8.2808619,47.3512064,2,7,4082,Wohlen (AG),112.0,113.0,112.0,113.0
e20cd445-f0e6-44fd-8b4b-ca64de737ebe,Gerbergasse 15,4800.0,7.947264000000001,47.2876051,0,32,4289,Zofingen,112.0,99.0,112.0,99.0
9c182e7e-b667-49d1-8213-2ce422dda032,Sennhofweg 9,4852.0,7.892069100000001,47.3044474,3,4,4282,Rothrist,112.0,110.0,112.0,110.0
0e135c4c-3b4b-463c-a4dd-b506b0f03835,Girixweg 17,5000.0,8.0572582,47.3986454,2,3,4001,Aarau,112.0,96.0,112.0,96.0
567073a1-e733-4bbd-a493-1bda713164e2,Landstrasse 58,4303.0,7.726092399999999,47.5371359,1,5,4252,Kaiseraugst,112.0,65.0,112.0,65.0
ca2f2a43-f961-49a6-8027-20ea1a8ddcb0,Landstrasse 58,4303.0,7.726092399999999,47.5371359,1,5,4252,Kaiseraugst,112.0,65.0,112.0,65.0
78826a5f-0f89-4592-ac8f-824406f8c25a,Am Bach 2 (Haus C),4314.0,8.227511999999999,46.818188,0,0,1406,Sachseln,335.0,470.0,335.0,470.0
e90890b1-7d61-4c51-8654-b00d3c3f14c1,Schiltihaldesteig 1,5312.0,8.2626732,47.5718203,1,3,4304,DÃ¶ttingen,112.0,110.0,112.0,110.0
035769a0-7b02-47ef-acba-dc50b25a1469,Dahlienweg 6,5330.0,8.287862000000002,47.5920103,1,1,4324,Zurzach,112.0,115.0,112.0,115.0
cbc321ad-8513-4ef2-8f7a-22c1027f363b,Schulstrasse 10,5426.0,8.3337772,47.51954569999999,1,3,4312,Lengnau (AG),112.0,103.0,112.0,103.0
2989167a-224d-40cf-920a-596ee65adc55,,5326.0,8.1459663,47.5856491,0,0,4176,Schwaderloch,112.0,123.0,112.0,123.0
bc59fbaf-db4a-406b-a621-5aec015e2eed,Stumpenbachstrasse 18,5734.0,8.180364500000001,47.2547329,1,9,4141,Reinach (AG),112.0,115.0,112.0,115.0
b0d7af6d-c965-48a5-b2cc-bccab30b5a12,Weidgasse 23a,5304.0,8.289657799999999,47.535635,2,0,4305,Endingen,112.0,111.0,112.0,111.0
d8e24e68-e767-42a9-99fd-6210ddce4f52,Hubelmattstrasse 20,5723.0,8.1124346,47.3328292,0,1,4145,Teufenthal (AG),112.0,122.0,112.0,122.0
1aa6ce2a-5082-49a4-a0dd-c6640962f8f7,Steinackerstrasse 1,5210.0,8.2118825,47.48008429999999,6,12,4123,Windisch,112.0,115.0,112.0,115.0
8c41f506-276f-4594-b966-5928479ab768,Luegetenstrasse 9,5605.0,8.2457577,47.3828585,1,0,4065,Dottikon,112.0,97.0,112.0,97.0
4db0fe2b-a468-4678-8c11-db7d75b4f914,Oberdorfstrasse 9,5722.0,8.1029925,47.35658489999999,0,1,4006,GrÃ¤nichen,112.0,111.0,112.0,111.0
166203f7-e133-4cc0-8735-13bbd7367057,Dorfstrasse 31,5636.0,8.365611399999999,47.2477524,0,1,4234,Merenschwand,112.0,96.0,112.0,96.0
b05071a5-7e73-4625-b59f-837d647a9711,Dorfstrasse 31,5636.0,8.365611399999999,47.2477524,0,1,4234,Merenschwand,112.0,96.0,112.0,96.0
a14e4634-db5e-465a-855d-c70ebf634a70,,5400.0,8.2972173,47.46850509999999,1,2,4021,Baden,112.0,92.0,112.0,92.0
a43046f1-7b71-4c8c-9967-6c357ba3ff90,Hardstrasse 56,5432.0,8.3311894,47.4502578,2,3,4034,Neuenhof,112.0,112.0,112.0,112.0
2995e5bc-bb54-441b-9682-95a933e8fac6,Bruggerstrasse 44,5400.0,8.3049688,47.4770078,6,44,4021,Baden,112.0,92.0,112.0,92.0
196adbbb-7f6b-4bbd-b8af-1fa252977940,Obere Mühlemattstr. 66,4800.0,7.9426999,47.2771188,0,0,4289,Zofingen,112.0,99.0,112.0,99.0
2cc10b43-2d0d-4df1-8f68-7493f7e195db,Hauptstrasse 36,4853.0,7.838102499999999,47.2694746,1,0,4279,Murgenthal,112.0,115.0,112.0,115.0
801963eb-caee-42cf-b75d-f9b9610e9c52,Bruggerstrasse 44,5400.0,8.3049688,47.4770078,6,44,4021,Baden,112.0,92.0,112.0,92.0
b4331f85-e265-4d74-8b3f-1d610b4ce08c,Baumgartenweg 4,5722.0,8.0916754,47.3626798,0,1,4006,GrÃ¤nichen,112.0,111.0,112.0,111.0
110c2817-008f-4693-b4cf-82502ee0421a,,5070.0,8.0178304,47.5082066,3,7,4163,Frick,112.0,102.0,112.0,102.0
5c41fe4b-e335-47f5-806d-1f291480c529,Himmelrychstrasse 10a,5634.0,8.3708152,47.2630723,0,2,4234,Merenschwand,112.0,96.0,112.0,96.0
43157721-459a-4e00-b9de-3553405f1f50,Kilchbergstrasse 6,4800.0,7.9450997,47.2793334,0,0,4289,Zofingen,112.0,99.0,112.0,99.0
b7d5d68a-0503-468e-8e48-481843952b63,Rombachtäli 17,5022.0,8.03651,47.4020859,0,0,4008,KÃ¼ttigen,112.0,100.0,112.0,100.0
b2830bfb-28e5-48f4-aea5-d7bd7dc1f4d2,Steinackerstrasse 1,5210.0,8.2118825,47.48008429999999,6,12,4123,Windisch,112.0,115.0,112.0,115.0
ee5acaeb-1a58-45ac-a5a6-78c843449291,Stahlrain 8,5200.0,8.2113929,47.4832708,6,19,4095,Brugg,112.0,97.0,112.0,97.0
ed3709b1-0779-4640-9ec8-93768a40a104,Alte Saline 10,4310.0,7.8080244,47.5638196,0,0,4258,Rheinfelden,112.0,90.0,112.0,90.0
5ffda253-a85b-413c-9461-85a21b5cc622,Jurastrasse 4,5430.0,8.3315647,47.4625909,3,6,4045,Wettingen,112.0,95.0,112.0,95.0
2a520e83-8ee0-4525-9522-3ac9113405b4,Föhrenweg 2,5316.0,8.2199236,47.5896883,0,1,4313,Leuggern,112.0,107.0,112.0,107.0
7abb46ad-4df3-469a-967c-0a6362c090b2,Postgasse 20,5603.0,8.1656055,47.382996,1,1,4210,Staufen,112.0,82.0,112.0,82.0
c5a92484-fee7-4123-8abf-7bf68c4412f4,Hooverstrasse 7,5727.0,8.121589,47.2992716,1,1,4140,Oberkulm,112.0,119.0,112.0,119.0
48438690-d475-4fd6-a8a8-462bd437a6d0,Dorfstrasse 54/56,5745.0,7.9791985,47.3180589,1,2,4283,Safenwil,112.0,115.0,112.0,115.0
9d847188-2a36-451e-b8bf-bb76b36fbf73,Theodorshofweg 17,4310.0,7.8044872,47.561369,0,1,4258,Rheinfelden,112.0,90.0,112.0,90.0
